ui_id,screen_type,image_path,source,heuristic,issue,severity,suggestion,expert
login_01,login,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/login_01.png,mobbin,Visibility of system status,"The inactive Log in button should have reduced visual prominence compared to active elements, aligning with the Visual Hierarchy principle.When the button transitions to an active state, its prominence should increase (e.g., through contrast, color, or elevation), reinforcing Affordance and signaling that the action is now available and interactive.",0,Keep it as it is.,ui ux expert
login_01,login,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/login_01.png,mobbin,Consistency and standards,"Placing the signup button in the top-right corner gives it high visual priority due to common scanning patterns like the Z-pattern, which naturally draws user attention there. This unintentionally makes it more prominent than login-related actions.",1,Keep it as it is but reduce the shadows around the button,ui ux expert
login_02,login,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/login_02.png,mobbin,Consistency and standards,"The 'Password' field uses a text-based toggle ('Show') instead of the standard eye icon. While clear, it breaks the 'internal consistency' of mobile design patterns where icons are expected for quick visual scanning.",1,Replace the 'Show' text with a standard visibility eye icon.,ui ux expert
login_02,login,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/login_02.png,mobbin,Aesthetic and minimalist design,"The ""Log in with email"" button and the social login buttons (Apple, Google, Facebook) carry almost equal visual weight. While the navy button is large, the stack of colored social buttons at the bottom is very ""loud"" and can distract users from the manual login path.",2,"If ""Email"" is the preferred login method, keep it as a solid button. Consider turning the social logins into outlined (ghost) buttons or smaller circular icons to reduce the ""clutter"" at the bottom of the screen.",ui ux expert
signup_01,signup,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/signup_01.png,mobbin,Error Prevention,"The form uses a 'Confirm Password' field. This is an outdated pattern that increases interaction cost and potential for typing errors. Additionally, there is no password visibility toggle (eye icon), which is a critical 'Error Prevention' feature for mobile users.",3,Remove the 'Confirm Password' field and replace it with a single password field that includes a 'Show/Hide' toggle icon. This reduces the friction of signing up while still allowing users to verify their input.,ui ux expert
signup_01,signup,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/signup_01.png,mobbin,Consistency and standards,The 'Forgot password?' link is present on a 'Sign Up' screen. This is logically inconsistent as a new user wouldn't have a password to forget yet resulting in creating cognitive noise.,3,Remove the 'Forgot password?' link from the registration screen. Keep the 'Sign in' link at the bottom as the primary escape hatch for users who already have an account.,ui ux expert
signup_01,signup,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/signup_01.png,mobbin,Color contrast and legibility/Recognition rather than recall,"The placeholder text (""Enter your email"", etc.) is a very light gray on an off-white input field background. This likely falls below the 4.5:1 contrast ratio required for accessibility.",2,"Darken the placeholder text. Furthermore, once a user starts typing, the label disappears. Consider using Floating Labels so the user doesn't lose the context of which field they are in",ui ux expert
signup_02,signup,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/signup_02.png,dribbble,Aesthetic and minimalist design,"Redundant labeling. The screen uses both a field label (e.g., 'Full Name') and placeholder text inside the field ('Full Name'). This creates visual clutter without adding new information.",1,"Remove the placeholder text inside the field or use it to provide an example (e.g., 'John Doe') while keeping the field labels for permanent context. This follows the 'Recognition over Recall' principle",ui ux expert
signup_02,signup,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/signup_02.png,dribbble,Color Contrast in Dark Mode,"Although the color gradient is appealing and have a contrast with light colored texts, it does not work well with the signin text in the bottom of the screen. This violates WCAG 2.1 SC 1.4.3 (Contrast Minimum), making the primary navigation for existing users difficult to locate.",3,"Change the 'Sign in' text color to a high-contrast color like white (#FFFFFF) or a much lighter shade of purple/lilac. Additionally, increase the font weight or add an underline to clearly signify it as a clickable element.",ui ux expert
dashboard_01,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_01.png,dribbble,Aesthetic and minimalist design,"The screen suffers from extreme density. Displaying multiple wallets, a large donut chart, a complex line graph, and a transaction history all on one fold creates high cognitive load violating Hick's law. This violates the 'Minimalist Design' principle as well where every extra unit of information diminishes the visibility of relevant units.Displaying wallets in a vertical layout (one per row) improves scannability and aligns with Serial Position Effect, making each item easier to process. But too many options slow down user decision-making. ",3,"Implement 'Progressive Disclosure'. Show the 'Total Balance' and 'Wallets' as the primary focus, and move the detailed 'Spent Graphics' or 'Transaction History' to sub-tabs or a scrollable bottom sheet. This allows the user to focus on one financial task at a time. Breaking the dashboard into multiple pages or clearly defined sections supports Cognitive Load Theory and aligns with Minimalism.",ui ux expert
dashboard_01,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_01.png,dribbble,Flexibility and efficiency of use,"The line chart ('Wallet Spent Graphics') lacks a clear legend or direct labeling for the data points. For an expert user trying to identify spending trends, having to 'guess' what each point represents without an interactive tooltip or axis labels makes the tool inefficient.",2,"Add a clear Y-axis with currency values and an X-axis with time intervals (e.g., Mon, Tue, Wed). Include a toggle to switch between 'Daily', 'Weekly', and 'Monthly' views to cater to both casual and power users.",ui ux expert
dashboard_01,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_01.png,dribbble,Visibility of system status,"There is a lack of clear visual distinction between the 'Active' wallet and 'Inactive' wallets. If a user is viewing the dashboard, they need to know which account's data is currently being reflected in the charts below",2,"Use a stronger visual 'Selected' state for the wallet cards such as a bold border, a subtle glow, or a checkmark icon. Ensure the charts below dynamically update with a brief transition animation to confirm the data has changed",ui ux expert
dashboard_02,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_02.png,dribbble,Match between system and the real world,"The 'Risk Score' bar uses a blue-to-purple-to-pink gradient to represent a 'Very High 5' risk. In the 'real world' (and standard UI conventions), blue and purple signify safety, calmness, or information, while red/orange signify danger or high risk. A user might misinterpret 'Very High' risk as 'Safe' because of the cool color palette.",4,"Shift the color palette for the Risk Score to traditional 'stoplight' colors (Green for low, Yellow for medium, Red for high). If you want to keep the brand's purple aesthetic, at least ensure the 'Very High' end of the spectrum is a bright, unmistakable red.",ui ux expert
dashboard_02,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_02.png,dribbble,Recognition rather than recall,"The 'Status' is marked with a small blue dot and the text 'In Progress'. However, this status is visually buried among other metadata (Category, Creation date). A user scanning the page for the most important information the status of the leak has to work too hard to find it.",2,Use a high-visibility status badge (a rounded container with a background color) instead of just a colored dot. Placing the status in the top right corner or immediately next to the title would also improve discoverability.,ui ux expert
dashboard_02,dashboard,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/dashboard_02.png,dribbble,Visibility of system status,"The 'Assessments' toggle (the icon with two people and a '+' sign) is ambiguous. It's unclear if clicking it adds a person, filters the list, or opens a new menu. This violates the principle that the system should always keep users informed about what an action will do.",2,"Replace the ambiguous toggle with a clearly labeled button, such as '+ Add Assessor', or use a standard 'tab' system if the toggle is meant to switch views.",ui ux expert
home_screen_01,homescreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/homescreen_01.png,mobbin,Aesthetic and minimalist design,"The top navigation bar contains redundant 'New' badges and inconsistent iconography styles (e.g., a flat house icon vs. a 3D-shaded hot air balloon). This creates visual noise that distracts from the primary task: searching.",1,Standardize the icon style (either all flat or all 3D) and remove the 'New' badges once the user has engaged with those sections to declutter the header. Align the selected bar with the relevent icon,ui ux expert
home_screen_01,homescreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/homescreen_01.png,mobbin,Recognition rather than recall,"The 'Price per night' text under the property cards is very small and lacks a distinct visual weight. On a mobile screen, users might struggle to identify the cost quickly while scrolling, forcing them to squint or memorize prices as they compare",2,Increase the font size of the price and use Bold to make it the primary anchor point of the card's metadata,ui ux expert
